job_title_short,job_title,job_location,job_via,job_schedule_type,job_work_from_home,search_location,job_posted_date,job_no_degree_mention,job_health_insurance,job_country,salary_rate,salary_year_avg,salary_hour_avg,company_name,job_skills,job_type_skills
Data Engineer,Data Science Engineer (Remote Job for Japan Company),"Karachi, Pakistan",via Indeed,Full-time,False,Pakistan,2023-03-01 13:19:38,False,False,Pakistan,,,,TouchPoint,"['java', 'scala', 'python', 'sql']","{'programming': ['java', 'scala', 'python', 'sql']}"
Data Engineer,Senior Consultant - Data Engineer,Pakistan,via Jooble,Full-time,False,Pakistan,2023-09-13 13:14:17,True,False,Pakistan,,,,"ThoughtWorks, Inc.","['nosql', 'cassandra', 'aws', 'azure', 'kafka', 'spark', 'hadoop', 'airflow']","{'cloud': ['aws', 'azure'], 'databases': ['cassandra'], 'libraries': ['kafka', 'spark', 'hadoop', 'airflow'], 'programming': ['nosql']}"
Machine Learning Engineer,Machine Learning Engineer,"Islamabad, Pakistan",via Indeed,Full-time,False,Pakistan,2023-05-25 13:30:41,False,False,Pakistan,,,,eMumba,"['python', 'go', 'pandas', 'scikit-learn']","{'libraries': ['pandas', 'scikit-learn'], 'programming': ['python', 'go']}"
Machine Learning Engineer,ML Engineer,"Lahore, Pakistan",via Indeed,Full-time,False,Pakistan,2023-06-22 13:19:25,False,False,Pakistan,,,,NKU Technologies Pvt.Ltd.,"['python', 'r', 'java', 'tensorflow', 'pytorch', 'scikit-learn']","{'libraries': ['tensorflow', 'pytorch', 'scikit-learn'], 'programming': ['python', 'r', 'java']}"
Data Scientist,Senior Data Scientist Jobs,"Karachi, Pakistan",via Jobiflix.online,Full-time,False,Pakistan,2023-01-01 13:40:38,False,False,Pakistan,,,,Afiniti,"['python', 'r', 'sql', 'scikit-learn', 'mlr']","{'libraries': ['scikit-learn', 'mlr'], 'programming': ['python', 'r', 'sql']}"
Senior Data Scientist,Senior Data Scientist,"Lahore, Pakistan",via LinkedIn,Full-time,False,Pakistan,2023-12-06 13:14:05,False,False,Pakistan,,,,Programmers Force,"['matplotlib', 'seaborn', 'plotly', 'hadoop', 'spark', 'tableau']","{'analyst_tools': ['tableau'], 'libraries': ['matplotlib', 'seaborn', 'plotly', 'hadoop', 'spark']}"
Data Scientist,Python Data Scientist,Anywhere,via LinkedIn,Full-time,True,Pakistan,2023-10-08 13:34:42,False,False,Pakistan,,,,Turing,"['python', 'sql', 'jupyter', 'express']","{'libraries': ['jupyter'], 'programming': ['python', 'sql'], 'webframeworks': ['express']}"
Data Engineer,Data Engineer,"Lahore, Pakistan",via LinkedIn,Full-time,False,Pakistan,2023-09-04 13:28:31,False,False,Pakistan,,,,CodeNinja Inc.,"['java', 'python', 'sql', 'aws', 'azure']","{'cloud': ['aws', 'azure'], 'programming': ['java', 'python', 'sql']}"
Data Scientist,Data Scientist,"Lahore, Pakistan",via LinkedIn Pakistan,Full-time,False,Pakistan,2023-01-17 13:17:59,False,False,Pakistan,,,,ArhamSoft (Pvt) Ltd,"['python', 'django', 'flask']","{'programming': ['python'], 'webframeworks': ['django', 'flask']}"
Data Scientist,Data Scientist - Remote,"Lahore, Pakistan",via Indeed,Part-time and Contractor,False,Pakistan,2023-09-21 13:27:29,False,False,Pakistan,,,,Innovadel Technologies,"['r', 'sql', 'python', 'scala', 'java', 'c++', 'hadoop', 'tableau']","{'analyst_tools': ['tableau'], 'libraries': ['hadoop'], 'programming': ['r', 'sql', 'python', 'scala', 'java', 'c++']}"
Data Engineer,Afiniti Hiring Near Me – Data Engineer,"Islamabad, Pakistan",via Jobs Picks,Full-time,False,Pakistan,2023-01-01 13:40:46,False,False,Pakistan,,,,Afiniti,"['sql', 'r', 'python']","{'programming': ['sql', 'r', 'python']}"
Data Engineer,Azure Data Engineer,"Lahore, Pakistan",via LinkedIn,Full-time,False,Pakistan,2023-09-11 13:16:18,True,False,Pakistan,,,,FutureNow Technologies,"['t-sql', 'sql', 'sql server', 'azure', 'ssis', 'power bi']","{'analyst_tools': ['ssis', 'power bi'], 'cloud': ['azure'], 'databases': ['sql server'], 'programming': ['t-sql', 'sql']}"
Data Engineer,Business Intelligence Data Engineer,"Karachi, Pakistan",via LinkedIn,Full-time,False,Pakistan,2023-10-06 13:13:59,False,False,Pakistan,,,,Khaadi Corporation,"['go', 'sql', 't-sql', 'sql server', 'power bi']","{'analyst_tools': ['power bi'], 'databases': ['sql server'], 'programming': ['go', 'sql', 't-sql']}"
Data Engineer,Data Engineer Sc4289,"Lahore, Pakistan",via LinkedIn Pakistan,Full-time,False,Pakistan,2023-02-04 13:41:09,False,False,Pakistan,,,,Nisum,"['java', 'python', 'sql', 'go', 'redshift', 'aws']","{'cloud': ['redshift', 'aws'], 'programming': ['java', 'python', 'sql', 'go']}"
