job_title_short,job_title,job_location,job_via,job_schedule_type,job_work_from_home,search_location,job_posted_date,job_no_degree_mention,job_health_insurance,job_country,salary_rate,salary_year_avg,salary_hour_avg,company_name,job_skills,job_type_skills
Data Scientist,Data Scientist,Anywhere,via LinkedIn,Full-time,True,Turkey,2023-12-21 13:34:40,False,False,Turkey,,,,Nesine.com,"['python', 'sql', 'nosql', 'elasticsearch', 'hadoop', 'spark', 'kafka', 'numpy', 'scikit-learn', 'keras', 'tensorflow', 'pytorch', 'tableau']","{'analyst_tools': ['tableau'], 'databases': ['elasticsearch'], 'libraries': ['hadoop', 'spark', 'kafka', 'numpy', 'scikit-learn', 'keras', 'tensorflow', 'pytorch'], 'programming': ['python', 'sql', 'nosql']}"
Machine Learning Engineer,Machine Learning Engineer,"Abuja, Nigeria",via LinkedIn Nigeria,Full-time,False,Nigeria,2023-11-08 13:50:20,False,False,Nigeria,,,,UNICCON Group of Companies,"['python', 'c++', 'pytorch', 'tensorflow', 'nltk', 'docker', 'kubernetes']","{'libraries': ['pytorch', 'tensorflow', 'nltk'], 'other': ['docker', 'kubernetes'], 'programming': ['python', 'c++']}"
Data Engineer,Data Science Engineer (Remote Job for Japan Company),"Karachi, Pakistan",via Indeed,Full-time,False,Pakistan,2023-03-01 13:19:38,False,False,Pakistan,,,,TouchPoint,"['java', 'scala', 'python', 'sql']","{'programming': ['java', 'scala', 'python', 'sql']}"
Data Engineer,Senior Consultant - Data Engineer,Pakistan,via Jooble,Full-time,False,Pakistan,2023-09-13 13:14:17,True,False,Pakistan,,,,"ThoughtWorks, Inc.","['nosql', 'cassandra', 'aws', 'azure', 'kafka', 'spark', 'hadoop', 'airflow']","{'cloud': ['aws', 'azure'], 'databases': ['cassandra'], 'libraries': ['kafka', 'spark', 'hadoop', 'airflow'], 'programming': ['nosql']}"
Senior Data Engineer,Senior Data Engineer,"İstanbul, Türkiye",via LinkedIn,Full-time,False,Turkey,2023-07-07 13:33:48,False,False,Turkey,,,,Etiya,"['sql', 't-sql', 'python', 'nosql', 'postgresql', 'oracle', 'aws', 'kafka', 'gdpr', 'sap', 'ssis', 'tableau', 'flow', 'kubernetes']","{'analyst_tools': ['sap', 'ssis', 'tableau'], 'cloud': ['oracle', 'aws'], 'databases': ['postgresql'], 'libraries': ['kafka', 'gdpr'], 'other': ['flow', 'kubernetes'], 'programming': ['sql', 't-sql', 'python', 'nosql']}"
Machine Learning Engineer,Machine learning engineer,Egypt,via Indeed,Full-time,False,Egypt,2023-02-28 13:39:47,False,False,Egypt,,,,IQVIA,,
Data Scientist,Data Scientist,"Lagos, Nigeria",via MyJobMag,Full-time,False,Nigeria,2023-09-21 13:34:12,False,False,Nigeria,,,,Estrada International Staffing Solutions,"['python', 'r', 'hadoop', 'spark', 'tableau', 'power bi']","{'analyst_tools': ['tableau', 'power bi'], 'libraries': ['hadoop', 'spark'], 'programming': ['python', 'r']}"
Data Engineer,Data Engineer & BI Developer,"İzmit, Kocaeli, Türkiye",via LinkedIn,Full-time,False,Turkey,2023-11-01 13:28:52,False,False,Turkey,,,,Yapı Kredi Teknoloji,"['sql', 'sql server', 'oracle', 'power bi', 'ssis']","{'analyst_tools': ['power bi', 'ssis'], 'cloud': ['oracle'], 'databases': ['sql server'], 'programming': ['sql']}"
Data Analyst,Data Analyst,Egypt,via Egypt.tanqeeb.com,Full-time,False,Egypt,2023-11-05 13:53:44,True,False,Egypt,,,,Al Asdekaa Group for Dai,['python'],{'programming': ['python']}
Machine Learning Engineer,Machine Learning Engineer,"Islamabad, Pakistan",via Indeed,Full-time,False,Pakistan,2023-05-25 13:30:41,False,False,Pakistan,,,,eMumba,"['python', 'go', 'pandas', 'scikit-learn']","{'libraries': ['pandas', 'scikit-learn'], 'programming': ['python', 'go']}"
Business Analyst,Senior BI Analyst (Associate/Deputy Manager),"Dhaka, Bangladesh",via SmartRecruiters Job Search,Full-time,False,Bangladesh,2023-10-19 14:08:10,False,False,Bangladesh,,,,10 Minute School,"['sql', 'python', 'r', 'pandas', 'matplotlib', 'dplyr', 'tableau', 'spreadsheet', 'sheets', 'excel']","{'analyst_tools': ['tableau', 'spreadsheet', 'sheets', 'excel'], 'libraries': ['pandas', 'matplotlib', 'dplyr'], 'programming': ['sql', 'python', 'r']}"
Machine Learning Engineer,ML Engineer,"Lahore, Pakistan",via Indeed,Full-time,False,Pakistan,2023-06-22 13:19:25,False,False,Pakistan,,,,NKU Technologies Pvt.Ltd.,"['python', 'r', 'java', 'tensorflow', 'pytorch', 'scikit-learn']","{'libraries': ['tensorflow', 'pytorch', 'scikit-learn'], 'programming': ['python', 'r', 'java']}"
Data Scientist,Data Scientist,"İstanbul, Türkiye",via LinkedIn,Full-time,False,Turkey,2023-04-02 13:15:41,False,False,Turkey,,,,Good Job Games,"['python', 'r', 'sql']","{'programming': ['python', 'r', 'sql']}"
Senior Data Analyst,Senior Data Business Analyst,Egypt,via LinkedIn,Full-time,False,Egypt,2023-12-17 13:18:00,False,False,Egypt,,,,FlairsTech,"['sql', 'python', 'r', 'tableau', 'excel']","{'analyst_tools': ['tableau', 'excel'], 'programming': ['sql', 'python', 'r']}"
Data Analyst,Data Analyst,"Giza, El Omraniya, Egypt",via LinkedIn,Full-time,False,Egypt,2023-12-19 13:39:21,False,False,Egypt,,,,Dsquares,"['python', 'sql', 'looker', 'power bi']","{'analyst_tools': ['looker', 'power bi'], 'programming': ['python', 'sql']}"
Data Analyst,Digital Marketing Data Analyst,Egypt,via تنقيب مصر,Full-time,False,Egypt,2023-10-18 13:17:08,True,False,Egypt,,,,Rashid Al Jabri Group,"['sas', 'sas', 'spss', 'excel']","{'analyst_tools': ['sas', 'spss', 'excel'], 'programming': ['sas']}"
Data Scientist,Data Science Specialist- BMGF (HCD+),"Abuja, Nigeria",via Job Vacancies And Recruitment In Kenya,Contractor,False,Nigeria,2023-01-02 13:32:39,False,False,Nigeria,,,,DAI,,
Senior Data Engineer,Senior Data Engineer,"İstanbul, Türkiye",via LinkedIn,Full-time,False,Turkey,2023-09-11 13:30:12,False,False,Turkey,,,,Greenland Commodities,"['python', 'java', 'c++', 'scala', 'postgresql', 'redis', 'aws', 'tableau']","{'analyst_tools': ['tableau'], 'cloud': ['aws'], 'databases': ['postgresql', 'redis'], 'programming': ['python', 'java', 'c++', 'scala']}"
Data Engineer,Data Quality Engineer,"Cairo, Egypt",via Eg.jobmeo.com,Full-time,False,Egypt,2023-06-20 13:27:46,True,False,Egypt,,,,Orange Business Services Egypt,,
Data Engineer,Data Engineer,"İstanbul, Türkiye",via LinkedIn,Full-time,False,Turkey,2023-01-25 13:53:25,True,False,Turkey,,,,R4,"['sql', 'ssis']","{'analyst_tools': ['ssis'], 'programming': ['sql']}"
Data Analyst,Data Analyst,Egypt,via LinkedIn,Full-time,False,Egypt,2023-09-09 13:16:11,False,False,Egypt,,,,Elixir Pharma,"['elixir', 'sql', 'excel', 'power bi']","{'analyst_tools': ['excel', 'power bi'], 'programming': ['elixir', 'sql']}"
